"Timestamp","How many PAM conferences have you attended, including this one?","In which timezone are you?","From where did you participating in PAM?","Please rate your professional seniority","Have you attended a virtual conference before?","Would you have attended PAM as on-site conference in Oregon?","My overall experience of attending remotely PAM is [Overall experience]","Compared to attending on-site, attending remotely allowed me to better focus on the conference [I was more focused on the technical content]","Compared to attending on-site, attending remotely allowed me to better focus on the conference [I was more focused on social interactions]","My expectations on attending a virtual conference were met [To present my work]","My expectations on attending a virtual conference were met [To follow presentations]","My expectations on attending a virtual conference were met [To interact with speakers]","My expectations on attending a virtual conference were met [To interact with participants]","To speakers: My expectations on attending a virtual conference were met [To present my work]","Would you attend more conferences each year if they are offered online","What tools did you use to participate in the conference and how well did they work? [Zoom]","What tools did you use to participate in the conference and how well did they work? [Slack]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to attend talks]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to focus on the talks without distractions]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to ask questions]","How do you rate the presentation sessions of this virtual conference compared to on-site conferences? [Ability to deeply discuss a topic openly with all participants]","Did you experience video or audio degradations in Zoom? [Audio impairments]","Did you experience video or audio degradations in Zoom? [Video impairments]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Having a video of the speaker in the corner of slides]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Presenter’s tone of speaking]","Which one of the following factors during the online presentations affected your interest or ability to follow the talk or remain engage [Changing of the audio across different segments of the presentation]","Pros/Cons of pre-recorded talks","(optional) Pros: What did you like about pre-recorded talks?","(optional) Cons: What did you not like about pre-recorded talks?","How many paper sessions did you skip due to time zone differences","Did you participate in technical discussions on Slack or Zoom?","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Ability to ask questions]","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Moderation of questions by the session chairs when posting to the Zoom chat]","How do you rate the interaction with others during this virtual conference compared to on-site conferences? [Ability for detailed technical discussions]","With how many participants did you interact in *private* chats? [Slack private chats]","With how many participants did you interact in *private* chats? [Zoom private chats]","(optional): Pros: Other feedback on *positive* aspects of the ability to interact during this virtual conference","(optional): Cons: Other feedback on *negative* aspects of the ability to interact during this virtual conference","Did you use Slack or the Zoom chat to interact with others about topics unrelated to the presentations?","How do you rate the quality of social interactions (unrelated to the presentations) during this virtual conference compared to classical on-site conferences? [Interactions with researchers I already know]","How do you rate the quality of social interactions (unrelated to the presentations) during this virtual conference compared to classical on-site conferences? [Interactions with new researchers I didn't know before]","(optional) What did you enjoy about social interaction at this virtual conference?","(optional) How can social interactions be improved at virtual conferences?","I would like to attend more virtual conferences in the future [I would like to attend more virtual conferences]","How many venues should be virtual in the future? [Future ideal share of virtual conferences]","How likely is it that you would recommend attending PAM as virtual conference to a colleague? [Would you recommend attending PAM remotely to a colleague?]","Pros: What worked well about attending remotely","Cons: What did not work well about attending remotely","Other comments / suggestions / feedback"
"2020/04/01 2:54:34 am EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Master student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","fair","Disagree","Disagree","As expected","As expected","As expected","More than expected","As expected","Maybe","As expected","Better than expected","stayed the same","much worse","stayed the same","somewhat worse","Very Rarely","Very Rarely","neutral","neutral","neutral","Didn’t affect my interest/ability to follow the talk","","","2","Actively (I posted content to Slack or Zoom)","stayed the same","stayed the same","somewhat worse","1-5","1-5","","","No","Stayed the same","Somewhat worse","","","Disagree","20%","4","Convenient to get to, no travel hassle","I found it easier to get distracted (which is my issue and not yours), and some of the talks of course ended up during meals because of timezones. ","While I would have definitely preferred it to be in person, the organizers did a really great job given the circumstances. I can only imagine the machinations that went into moving PAM from in-person to virtual, and I very much appreciate the work that you all did."
"2020/04/01 2:58:12 am EET","4-6","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Strongly Agree ( better focus, less distraction)","Undecided","As expected","More than expected","More than expected","As expected","","Maybe","Better than expected","Better than expected","somewhat better","somewhat better","somewhat better","stayed the same","Occasionally","Very Rarely","useful","distracting","neutral","Increased my interest/ability to follow the talk","I think it made the talk experience more uniform overall -- even with the variations in audio quality in tone, it was less than you'd usually find in a live, in-person presentation.","","0 (I followed every session)","Actively (I posted content to Slack or Zoom)","much better","much better","stayed the same","1-5","1-5","I think the interactions were much easier -- digital communication is often significantly easier (which comes with its own challenges, especially concerning inadvertent tone, etc.), so I think it made it easier for a wider set to ask questions, and also created a slightly less stressful opportunity for authors to respond (especially compared to standing on a stage).","I think this may have scaling challenges beyond a setting like PAM. While it worked great here, if there were more questions, the ""ask directly in zoom"" method may have become untenable.","Yes","Stayed the same","Stayed the same","It made some interactions easier: no need to wait for another researcher to not be busy to catch them in a hallway -- you can simply message them asynchronously. ","Facilitating some small-group voice communication might be interesting. As an industry participant, there are a number of operational insights I would generally like to share with other researchers that are complicated to do in written virtual settings. This could be mitigated with smaller group audio chats as part of the event (other suddenly-virtual conferences have had some luck with BoF sessions and things of that nature).","Agree","20%","9","Easy to tune in  -- especially as it matched my timezone.","The audience definitely seemed to skew time-zone local - PAM regulars from Europe and Asia seemed to be missing -- ie we can expect people to reset their personal clocks for travel, but not for a virtual conference (especially with other factors). ",""
"2020/04/01 3:02:57 am EET","1","(GMT +8:00) Beijing, Perth, Singapore, Hong Kong","Home","PhD student","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","excellent","Strongly Agree ( better focus, less distraction)","Disagree","As expected","As expected","Less than expected","Less than expected","More than expected","Maybe","Better than expected","Better than expected","much better","much better","somewhat better","somewhat better","Occasionally","Occasionally","useful","neutral","distracting","Didn’t affect my interest/ability to follow the talk","","","6","Passively (I read what others posted)","somewhat better","much better","much better","0 (I only followed what others posted)","1-5","","","No","Stayed the same","Much worse","","","Agree","50%","8","not affected by travel restrictions; save time","time zone difference ; pre-recorded presentation not flexible",""
"2020/04/01 3:04:02 am EET","3","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","fair","Agree","Disagree","As expected","As expected","As expected","Less than expected","As expected","Yes","As expected","As expected","stayed the same","somewhat better","somewhat worse","much worse","Very Rarely","Very Rarely","useful","useful","neutral","Limited my interest/ability to follow the talk","","","0 (I followed every session)","Actively (I posted content to Slack or Zoom)","somewhat worse","stayed the same","much worse","0 (I only followed what others posted)","0 (I only followed what others posted)","","","No","Much worse","Much worse","","","Disagree","50%","8","The presentations","The social interactions",""
"2020/04/01 3:12:11 am EET","3","(GMT -8:00) Pacific Time (US & Canada)","Home","Faculty","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","excellent","Agree","Disagree","More than expected","More than expected","More than expected","More than expected","","Yes","Better than expected","Better than expected","much better","much better","much better","much better","Never","Never","useful","useful","neutral","Significantly increased my interest/ability to follow the talk","All speakers did very good job of pacing themselves and sticking to time limit","It was helpful if there was a speaker in the corner. I didn't like the talks that only had slides.","0 (I followed every session)","Passively (I read what others posted)","much better","much better","much better","1-5","0 (I only followed what others posted)","It worked better than I expected. I was very impressed.","","No","Somewhat worse","Somewhat worse","","","Strongly Agree","50%","7","I was able to attend on my own schedule from home. Sound and video were good, as well as  interactions with speakers.","nothing, I didn't have any problems",""
"2020/04/01 4:14:40 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","Postdoc","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","good","Agree","Disagree","As expected","As expected","Less than expected","Less than expected","As expected","Maybe","Better than expected","As expected","stayed the same","somewhat worse","somewhat worse","much worse","Never","Never","neutral","useful","neutral","Increased my interest/ability to follow the talk","allows presenters to give a polished version of talk without a lot practicing or overtalking","not much. wouldn't mind if live conferences used pre-recorded talks.","0 (I followed every session)","Passively (I read what others posted)","somewhat worse","somewhat better","much worse","1-5","0 (I only followed what others posted)","","no natural ability to meet new people","Yes","Somewhat worse","Much worse","","","Undecided","0% (all in-person, please)","5","it was easier with family","meeting people and forming collaborations",""
"2020/04/01 5:17:12 am EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","poor","Disagree","Disagree","Less than expected","Less than expected","Less than expected","Less than expected","Less than expected","Maybe","Better than expected","Worse than expected","stayed the same","somewhat worse","much worse","somewhat worse","Rarely","Occasionally","neutral","useful","neutral","Didn’t affect my interest/ability to follow the talk","We knew there would be a talk (unlikely to have connectivity problems) and they would start on time (no need to check sound and video working at each transition). ","Some videos had very little interaction and monotonous voice track, making it very difficult to follow the talk. ","1","Actively (I posted content to Slack or Zoom);Passively (I read what others posted)","somewhat worse","somewhat better","somewhat worse","1-5","1-5","Interacting during sessions did not interrupt sessions and you could follow the session at the same time. ","I only talked with 2 people I didn’t know before. I didn’t find there was any good moment to reach out to people I didn’t know and I wanted to. I had imagined myself talking to someone in the community that I’ve been wanting to meet for some time but did not feel there was a good time to send a private slack message out of the blue. When sessions were over, I didn’t want to stay all the break close to my computer and felt other people wouldn’t either. So I never contacted this person and I know I would have done it during a break in the conference. ","Yes","Much worse","Much worse","Nothing. I felt very lonely during the conference. ","This is difficult. I guess a more structured online mixer would have been helpful. For instance something like speed dating between people with similar interest. Using previous questionnaires there could be some match making and a few free slots for each participants wanting to do 3-5min speed dating with the community, be there to meet someone new or to simply have a fixed time to talk with someone you know about what is going on at the conference. Participants can then continue chatting via private slack messages if wanted. But that initial mixer would set the tone for having time for interactions outside sessions. ","Undecided","50%","5","No commuting to the conference and much cheaper to attend. These are two huge advantages. ","Getting a sense of community, getting to know the community better. ","From my experience, I see the trade off being: invest more time & resources in attending in person to a conference and getting quite a bit from the in person interaction or not as much time and resources invested in attending online but getting less out of it. So from that trade off I think there could be conference fully online or at least have conference give the option to attend online (real-time streaming + dedicated chats). "
"2020/04/01 5:20:30 am EET","1","(GMT -8:00) Pacific Time (US & Canada)","Home","PhD student","No, this is my first virtual conference","Yes, I would have physically attended PAM in Oregon","excellent","Strongly Agree ( better focus, less distraction)","Disagree","As expected","As expected","As expected","As expected","As expected","Yes","Better than expected","Did not use","much better","somewhat better","stayed the same","somewhat worse","Very Rarely","Very Rarely","useful","neutral","neutral","Increased my interest/ability to follow the talk","One can reduce the number of mistakes during the presentations, and can focus on the main messages.","None","0 (I followed every session)","Passively (I read what others posted)","somewhat better","somewhat better","somewhat better","0 (I only followed what others posted)","0 (I only followed what others posted)","","As a poster presenter, we were given too limited time to receive feedback and have further discussions.","No","Stayed the same","Stayed the same","","","Agree","60%","8","Less stress in delivering a talk","Offline discussion is more difficult somehow",""
"2020/04/01 6:42:31 am EET","4-6","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","No, this is my first virtual conference","No, I am only attending because of the remote participation and would not have come to Oregon","good","Agree","Disagree","As expected","More than expected","As expected","Less than expected","","Yes","As expected","As expected","somewhat better","somewhat better","somewhat better","somewhat better","Rarely","Rarely","neutral","useful","neutral","Limited my interest/ability to follow the talk","","didn't like those that used computerized speech","0 (I followed every session)","Passively (I read what others posted)","somewhat better","somewhat better","somewhat better","0 (I only followed what others posted)","1-5","","","No","Somewhat worse","Somewhat worse","","","Agree","100% (all virtual, please)","10 Extremely likely to recommend","easier to attend","social interaction with colleagues",""
"2020/04/01 8:03:40 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Postdoc","Yes","Yes, I would have physically attended PAM in Oregon","fair","Agree","Undecided","As expected","As expected","As expected","As expected","","Yes","As expected","Did not use","stayed the same","stayed the same","somewhat worse","somewhat worse","Occasionally","Occasionally","neutral","distracting","distracting","Didn’t affect my interest/ability to follow the talk","","","2","Passively (I read what others posted)","stayed the same","somewhat better","stayed the same","0 (I only followed what others posted)","0 (I only followed what others posted)","","","No","Stayed the same","Stayed the same","","","Agree","70%","8","Q&A","Timezone","Future online conferences should have longer Q&A sections and possible multiple ""venues"" during the same couple of days."
