"Timestamp","How many PAM conferences have you attended, including this one?","In which timezone are you?","From where are you participating in PAM?","Please rate your professional seniority","Have you attended a remote conference before?","Would you have attended PAM as on-site conference in Oregon?","Do you intend to use the conference Slack/Zoom as virtual hallway track?","In which sessions do you plan to participate?","Do you think you would attend more sessions if you would have attended PAM as on-site venue?","Importance of presenting my work to this community [Importance of presenting my work to this community]","Importance of presenting my work to this community [Importance of following paper/poster presentations]","Importance of presenting my work to this community [Importance of interacting with other researchers I already know]","Importance of presenting my work to this community [Importance of meeting new researchers]","Importance of presenting my work to this community [Importance of visiting the city/country in which the conference is held]","Importance of presenting my work to this community [Importance of presenting my work to this community]","Importance of presenting my work to this community [Importance of following paper/poster presentations]","Importance of presenting my work to this community [Importance of interacting with other researchers I already know]","Importance of presenting my work to this community [Importance of meeting new researchers]","Do you have other feedback / wishes / comments that you would like to share?"
"2020/03/29 10:02:50 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Postdoc","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Maybe","Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance","Yes, I would have attended more","Very","Very","Very","Very","Slightly","Very","Very","Very","Very",""
"2020/03/29 10:04:17 pm EET","4-6","(GMT -8:00) Pacific Time (US & Canada)","Home","Industry","Yes","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","No","Slightly","Moderate","Extremely","Extremely","Slightly","Not at all","Moderate","Very","Moderate",""
"2020/03/29 10:06:26 pm EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","Yes, I would have attended more","Extremely","Very","Extremely","Extremely","Very","Extremely","Very","Extremely","Extremely",""
"2020/03/29 10:34:59 pm EET","3","(GMT +3:00) Baghdad, Riyadh, Moscow, St. Petersburg","Home","Faculty","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution","No","Very","Very","Extremely","Extremely","Not at all","Moderate","Very","Very","Very","Alas there's no adjustments for European time zones "
"2020/03/29 10:35:33 pm EET","3","(GMT -8:00) Pacific Time (US & Canada)","Home","Faculty","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names","Yes, I would have attended more","Moderate","Very","Extremely","Extremely","Very","Moderate","Extremely","Very","Extremely",""
"2020/03/29 10:54:40 pm EET","3","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","Faculty","Yes","Yes, I would have physically attended PAM in Oregon","No","Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 15:00-17:00 Session 7: Web (with break)","Yes, I would have attended more","Extremely","Moderate","Extremely","Very","Moderate","Extremely","Moderate","Extremely","Very","Good luck - and thanks for all the effort!"
"2020/03/29 11:19:55 pm EET","4-6","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Faculty","No, this is my first remote conference","No, I am only attending because of the remote participation and would not have come to Oregon","Maybe","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","Yes, I would have attended more","Very","Moderate","Extremely","Moderate","Slightly","Not at all","Very","Slightly","Slightly",""
"2020/03/30 1:17:44 am EET","1","(GMT +1:00) Brussels, Copenhagen, Madrid, Paris","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance","Yes, I would have attended more","Very","Moderate","Extremely","Very","Moderate","Very","Moderate","Extremely","Very",""
"2020/03/30 1:38:58 am EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","PhD student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 12:50-13:10 Poster session I;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 12:30-13:05 Poster Session II;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Extremely","Very","Very","Very","Slightly","Extremely","Very","Moderate","Moderate",""
"2020/03/30 2:02:17 am EET","1","(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Home","Undergrad / Master student","No, this is my first remote conference","Yes, I would have physically attended PAM in Oregon","Yes","Monday, 09:00-09:30 Introduction and Welcome;Monday, 09:30-10:00 Keynote: Renata Teixeira, Inria, Paris;Monday, 11:00-12:30 Session 1: Security;Monday, 14:00-15:30 Session 2: Active Measurement;Monday, 16:00-17:30 Session 3: Topology and routing;Tuesday, 09:00-10:30 Session 4: Domain names;Tuesday, 11:00-12:00 Session 5: Best practices and conformance;Tuesday, 13:30-14:30 Session 6: Topology: Alias Resolution;Tuesday, 15:00-17:00 Session 7: Web (with break)","No","Moderate","Slightly","Slightly","Moderate","Slightly","Moderate","Not at all","Slightly","Not at all",""
